CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
0,126,Reputation,14082,25,4235,0,3320,74,88
0,126,Reputation,14082,5,4235,1608,3320,94,88
1,126,Reputation,14082,7,4235,0,3320,99,88
3,126,Reputation,14082,6,4235,0,3320,119,88
0,126,Reputation,14082,7,4235,0,3320,140,88
2,126,Reputation,14082,5,4235,0,3320,143,88
1,126,Reputation,14082,8,4235,0,3320,255,88
0,126,Reputation,14082,14,4235,0,3320,265,88
0,126,Reputation,14082,5,4235,425,3320,275,88
1,126,Reputation,14082,2,4235,0,3320,309,88
4,126,Reputation,14082,1,4235,5329,3320,337,88
0,126,Reputation,14082,2,4235,267,3320,341,88
0,126,Reputation,14082,3,4235,0,3320,343,88
2,126,Reputation,14082,3,4235,0,3320,344,88
4,126,Reputation,14082,6,4235,757,3320,358,88
2,126,Reputation,14082,4,4235,129,3320,360,88
0,126,Reputation,14082,3,4235,0,3320,380,88
3,126,Reputation,14082,109,4235,0,3320,424,88
1,126,Reputation,14082,84,4235,0,3320,435,88
3,126,Reputation,14082,6,4235,213,3320,450,88
0,126,Reputation,14082,8,4235,0,3320,462,88
4,126,Reputation,14082,3,4235,0,3320,464,88
2,126,Reputation,14082,14,4235,0,3320,483,88
2,126,Reputation,14082,6,4235,0,3320,494,88
7,126,Reputation,14082,3,4235,7210,3320,501,88
0,126,Reputation,14082,5,4235,2056,3320,505,88
1,126,Reputation,14082,3,4235,0,3320,518,88
0,126,Reputation,14082,7,4235,426,3320,526,88
0,126,Reputation,14082,8,4235,0,3320,547,88
0,126,Reputation,14082,5,4235,256,3320,559,88
1,126,Reputation,14082,2,4235,0,3320,565,88
2,126,Reputation,14082,0,4235,579,3320,574,88
11,126,Reputation,14082,6,4235,0,3320,579,88
2,126,Reputation,14082,3,4235,0,3320,602,88
1,126,Reputation,14082,1,4235,0,3320,605,88
3,126,Reputation,14082,2,4235,5222,3320,615,88
0,126,Reputation,14082,3,4235,0,3320,621,88
0,126,Reputation,14082,22,4235,0,3320,631,88
4,126,Reputation,14082,1,4235,0,3320,636,88
0,126,Reputation,14082,5,4235,0,3320,654,88
13,126,Reputation,14082,14,4235,0,3320,658,88
2,126,Reputation,14082,6,4235,0,3320,667,88
4,126,Reputation,14082,3,4235,0,3320,733,88
3,126,Reputation,14082,2,4235,3092,3320,734,88
2,126,Reputation,14082,3,4235,0,3320,759,88
0,126,Reputation,14082,0,4235,0,3320,771,88
0,126,Reputation,14082,4,4235,1139,3320,792,88
2,126,Reputation,14082,5,4235,0,3320,842,88
1,126,Reputation,14082,0,4235,0,3320,850,88
3,126,Reputation,14082,6,4235,2663,3320,908,88
6,126,Reputation,14082,3,4235,576,3320,910,88
0,126,Reputation,14082,3,4235,0,3320,914,88
2,126,Reputation,14082,1,4235,0,3320,930,88
0,126,Reputation,14082,2,4235,1345,3320,960,88
6,126,Reputation,14082,10,4235,0,3320,1004,88
0,126,Reputation,14082,2,4235,0,3320,1018,88
3,126,Reputation,14082,2,4235,0,3320,1019,88
0,126,Reputation,14082,2,4235,0,3320,1020,88
0,126,Reputation,14082,2,4235,0,3320,1021,88
0,126,Reputation,14082,4,4235,92,3320,1106,88
5,126,Reputation,14082,2,4235,0,3320,1183,88
7,126,Reputation,14082,3,4235,0,3320,1263,88
3,126,Reputation,14082,0,4235,4654,3320,1290,88
3,126,Reputation,14082,1,4235,0,3320,1294,88
2,126,Reputation,14082,6,4235,0,3320,1322,88
0,126,Reputation,14082,2,4235,0,3320,1362,88
1,126,Reputation,14082,2,4235,0,3320,1372,88
0,126,Reputation,14082,1,4235,2208,3320,1373,88
3,126,Reputation,14082,7,4235,0,3320,1374,88
1,126,Reputation,14082,2,4235,0,3320,1702,88
0,126,Reputation,14082,0,4235,0,3320,1712,88
0,126,Reputation,14082,8,4235,0,3320,1765,88
4,126,Reputation,14082,3,4235,0,3320,1791,88
0,126,Reputation,14082,2,4235,535,3320,1798,88
3,126,Reputation,14082,4,4235,0,3320,1840,88
5,126,Reputation,14082,2,4235,293,3320,1858,88
1,126,Reputation,14082,2,4235,0,3320,1890,88
4,126,Reputation,14082,3,4235,0,3320,1946,88
0,126,Reputation,14082,2,4235,0,3320,1950,88
2,126,Reputation,14082,3,4235,0,3320,1984,88
3,126,Reputation,14082,3,4235,0,3320,2097,88
3,126,Reputation,14082,2,4235,0,3320,2157,88
0,126,Reputation,14082,17,4235,0,3320,2179,88
1,126,Reputation,14082,5,4235,0,3320,2206,88
0,126,Reputation,14082,1,4235,0,3320,2225,88
0,126,Reputation,14082,6,4235,0,3320,2246,88
0,126,Reputation,14082,0,4235,0,3320,2254,88
1,126,Reputation,14082,2,4235,66972,3320,2340,88
4,126,Reputation,14082,5,4235,0,3320,2355,88
0,126,Reputation,14082,8,4235,0,3320,2359,88
7,126,Reputation,14082,10,4235,0,3320,2362,88
0,126,Reputation,14082,0,4235,0,3320,2416,88
0,126,Reputation,14082,0,4235,0,3320,2417,88
0,126,Reputation,14082,5,4235,0,3320,2435,88
0,126,Reputation,14082,1,4235,0,3320,2436,88
0,126,Reputation,14082,10,4235,0,3320,2455,88
0,126,Reputation,14082,2,4235,0,3320,2694,88
5,126,Reputation,14082,1,4235,0,3320,2712,88
0,126,Reputation,14082,24,4235,0,3320,2718,88
5,126,Reputation,14082,2,4235,0,3320,2729,88
1,126,Reputation,14082,2,4235,1178,3320,2735,88
2,126,Reputation,14082,6,4235,0,3320,2741,88
0,126,Reputation,14082,3,4235,864,3320,2798,88
0,126,Reputation,14082,5,4235,0,3320,3011,88
0,126,Reputation,14082,0,4235,0,3320,3012,88
0,126,Reputation,14082,0,4235,324,3320,3013,88
0,126,Reputation,14082,0,4235,0,3320,3014,88
0,126,Reputation,14082,0,4235,588,3320,3015,88
0,126,Reputation,14082,0,4235,415,3320,3016,88
0,126,Reputation,14082,0,4235,0,3320,3017,88
0,126,Reputation,14082,0,4235,0,3320,3018,88
0,126,Reputation,14082,0,4235,0,3320,3019,88
0,126,Reputation,14082,3,4235,0,3320,3050,88
1,126,Reputation,14082,3,4235,0,3320,3073,88
1,126,Reputation,14082,5,4235,0,3320,3074,88
1,126,Reputation,14082,8,4235,0,3320,3076,88
0,126,Reputation,14082,7,4235,0,3320,3237,88
1,126,Reputation,14082,3,4235,0,3320,3284,88
2,126,Reputation,14082,1,4235,0,3320,3382,88
0,126,Reputation,14082,2,4235,172,3320,3437,88
0,126,Reputation,14082,3,4235,0,3320,3452,88
3,126,Reputation,14082,10,4235,0,3320,3515,88
1,126,Reputation,14082,4,4235,0,3320,3674,88
5,126,Reputation,14082,1,4235,0,3320,3740,88
1,126,Reputation,14082,6,4235,0,3320,3800,88
2,126,Reputation,14082,3,4235,0,3320,3801,88
3,126,Reputation,14082,18,4235,464,3320,3940,88
4,126,Reputation,14082,3,4235,0,3320,3941,88
1,126,Reputation,14082,11,4235,219,3320,3949,88
3,126,Reputation,14082,64,4235,0,3320,3954,88
0,126,Reputation,14082,5,4235,1055,3320,3956,88
2,126,Reputation,14082,2,4235,0,3320,4006,88
7,126,Reputation,14082,4,4235,0,3320,4020,88
2,126,Reputation,14082,1,4235,429,3320,4026,88
4,126,Reputation,14082,10,4235,0,3320,4064,88
0,126,Reputation,14082,15,4235,1034,3320,4211,88
6,126,Reputation,14082,3,4235,3026,3320,4438,88
0,126,Reputation,14082,5,4235,0,3320,4481,88
