CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
5,5,Score,6792,152,662,291,1145,6,5
1,5,Score,6792,20,662,1418,1145,12,5
0,5,Score,6792,12,662,617,1145,32,5
3,5,Score,6792,22,662,0,1145,76,5
6,5,Score,6792,28,662,0,1145,103,5
1,5,Score,6792,14,662,0,1145,108,5
2,5,Score,6792,75,662,0,1145,125,5
4,5,Score,6792,26,662,0,1145,126,5
0,5,Score,6792,23,662,0,1145,131,5
2,5,Score,6792,21,662,0,1145,139,5
1,5,Score,6792,9,662,0,1145,197,5
0,5,Score,6792,8,662,470,1145,299,5
2,5,Score,6792,8,662,0,1145,306,5
1,5,Score,6792,11,662,0,1145,314,5
0,5,Score,6792,11,662,0,1145,329,5
1,5,Score,6792,14,662,0,1145,398,5
7,5,Score,6792,156,662,0,1145,423,5
0,5,Score,6792,40,662,0,1145,433,5
0,5,Score,6792,11,662,0,1145,550,5
2,5,Score,6792,9,662,0,1145,560,5
1,5,Score,6792,10,662,0,1145,562,5
1,5,Score,6792,9,662,6700,1145,617,5
0,5,Score,6792,7,662,780,1145,634,5
1,5,Score,6792,11,662,0,1145,772,5
0,5,Score,6792,7,662,0,1145,774,5
6,5,Score,6792,13,662,0,1145,827,5
1,5,Score,6792,8,662,0,1145,1451,5
3,5,Score,6792,10,662,0,1145,1491,5
4,5,Score,6792,8,662,1517,1145,1551,5
1,5,Score,6792,18,662,120,1145,1648,5
1,5,Score,6792,26,662,0,1145,1826,5
3,5,Score,6792,17,662,0,1145,1828,5
0,5,Score,6792,10,662,0,1145,1893,5
0,5,Score,6792,11,662,0,1145,1904,5
3,5,Score,6792,7,662,0,1145,1906,5
0,5,Score,6792,7,662,1068,1145,1907,5
2,5,Score,6792,13,662,0,1145,2072,5
0,5,Score,6792,21,662,0,1145,2077,5
0,5,Score,6792,22,662,0,1145,2149,5
3,5,Score,6792,11,662,0,1145,2167,5
3,5,Score,6792,15,662,0,1145,2172,5
2,5,Score,6792,15,662,0,1145,2213,5
1,5,Score,6792,95,662,0,1145,2217,5
1,5,Score,6792,9,662,0,1145,2236,5
2,5,Score,6792,24,662,0,1145,2245,5
1,5,Score,6792,10,662,2939,1145,2247,5
2,5,Score,6792,26,662,0,1145,2346,5
4,5,Score,6792,16,662,0,1145,2456,5
1,5,Score,6792,10,662,0,1145,2627,5
3,5,Score,6792,16,662,118,1145,2911,5
5,5,Score,6792,15,662,0,1145,3239,5
5,5,Score,6792,7,662,0,1145,3424,5
5,5,Score,6792,7,662,1950,1145,3461,5
2,5,Score,6792,7,662,0,1145,3576,5
1,5,Score,6792,24,662,0,1145,5296,5
6,5,Score,6792,12,662,0,1145,6235,5
2,5,Score,6792,17,662,0,1145,6241,5
3,5,Score,6792,20,662,4873,1145,6278,5
0,0,Score,457,13,47,0,114,15,6
4,0,Score,457,9,47,676,114,9329,6
1,0,Score,457,40,47,0,114,25770,6
2,0,Score,429,21,20,0,56,643,7
4,0,Score,429,26,20,25597,56,2695,7
1,25,Score,6764,23,604,5188,1089,1,8
3,25,Score,6764,16,604,0,1089,16,8
7,25,Score,6764,41,604,0,1089,36,8
3,25,Score,6764,14,604,0,1089,65,8
4,25,Score,6764,33,604,0,1089,78,8
3,25,Score,6764,8,604,485,1089,111,8
1,25,Score,6764,30,604,0,1089,114,8
1,25,Score,6764,17,604,1439,1089,168,8
1,25,Score,6764,56,604,273,1089,170,8
7,25,Score,6764,13,604,0,1089,262,8
0,25,Score,6764,7,604,0,1089,271,8
1,25,Score,6764,96,604,0,1089,432,8
0,25,Score,6764,8,604,0,1089,1010,8
5,25,Score,6764,13,604,174,1089,1173,8
3,25,Score,6764,20,604,0,1089,1185,8
4,25,Score,6764,15,604,0,1089,1251,8
5,25,Score,6764,11,604,0,1089,1291,8
0,25,Score,6764,11,604,0,1089,1496,8
2,25,Score,6764,8,604,0,1089,1529,8
3,25,Score,6764,7,604,0,1089,1537,8
4,25,Score,6764,40,604,0,1089,1598,8
0,25,Score,6764,15,604,0,1089,1741,8
5,25,Score,6764,7,604,0,1089,1816,8
4,25,Score,6764,10,604,11458,1089,1842,8
0,25,Score,6764,7,604,64481,1089,1993,8
4,25,Score,6764,15,604,0,1089,2348,8
4,25,Score,6764,9,604,0,1089,3108,8
0,25,Score,6764,18,604,0,1089,3138,8
6,25,Score,6764,14,604,0,1089,3405,8
0,25,Score,6764,29,604,0,1089,3460,8
1,25,Score,6764,14,604,0,1089,3527,8
0,25,Score,6764,12,604,0,1089,3532,8
4,25,Score,6764,30,604,0,1089,3555,8
2,25,Score,6764,73,604,0,1089,3814,8
1,25,Score,6764,8,604,0,1089,3880,8
6,25,Score,6764,7,604,0,1089,4311,8
3,25,Score,6764,12,604,0,1089,5184,8
2,25,Score,6764,11,604,0,1089,5600,8
