Transaction_ID,Transaction_date,Supplier,Price,Payment_Type,Client ID,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
12340,01-02-09 6:17,25678,1200,Mastercard,54700,Basildon,England,United Kingdom,01-02-09 6:00,01-02-09 6:08,51.5,-1.1166667
12341,01-02-09 4:53,25679,1200,Visa,54701,Parkville                   ,MO,United States,01-02-09 4:42,01-02-09 7:49,39.195,-94.68194
12342,01-02-09 13:08,25680,1200,Mastercard,54702,Astoria                     ,OR,United States,01-01-09 16:21,01-03-09 12:32,46.18806,-123.83
12343,01-03-09 14:44,25681,1200,Visa,54703,Echuca,Victoria,Australia,9/25/05 21:13,01-03-09 14:22,-36.1333333,144.75
12344,01-04-09 12:56,25682,3600,Visa,54704,Cahaba Heights              ,AL,United States,11/15/08 15:47,01-04-09 12:45,33.52056,-86.8025
12345,01-04-09 13:19,25683,1200,Visa,54705,Mickleton                   ,NJ,United States,9/24/08 15:19,01-04-09 13:04,39.79,-75.23806
12346,01-04-09 20:11,25684,1200,Mastercard,54706,Peoria                      ,IL,United States,01-03-09 9:38,01-04-09 19:45,40.69361,-89.58889
12347,01-02-09 20:09,25685,1200,Mastercard,54707,Martin                      ,TN,United States,01-02-09 17:43,01-04-09 20:01,36.34333,-88.85028
12348,01-04-09 13:17,25686,1200,Mastercard,54708,Tel Aviv,Tel Aviv,Israel,01-04-09 13:03,01-04-09 22:10,32.0666667,34.7666667
12349,01-04-09 14:11,25687,1200,Visa,54709,Chatou,Ile-de-France,France,06-03-08 4:22,01-05-09 1:17,48.8833333,2.15
12350,01-05-09 2:42,25688,1200,Diners,54710,New York                    ,NY,United States,01-05-09 2:23,01-05-09 4:59,40.71417,-74.00639
12351,01-05-09 5:39,25689,1200,Amex,54711,Eindhoven,Noord-Brabant,Netherlands,01-05-09 4:55,01-05-09 8:15,51.45,5.4666667
12352,01-02-09 9:16,25690,1200,Mastercard,54701,Shavano Park                ,TX,United States,01-02-09 8:32,01-05-09 9:05,29.42389,-98.49333
12353,01-05-09 10:08,25691,1200,Visa,54702,Eagle                       ,ID,United States,11-11-08 15:53,01-05-09 10:05,43.69556,-116.35306
12354,01-02-09 14:18,25692,1200,Visa,54703,Riverside                   ,NJ,United States,12-09-08 12:07,01-05-09 11:01,40.03222,-74.95778
12355,01-04-09 1:05,25693,1200,Diners,54704,Julianstown,Meath,Ireland,01-04-09 0:00,01-05-09 13:36,53.6772222,-6.3191667
12356,01-05-09 11:37,25694,1200,Visa,54705,Ottawa,Ontario,Canada,01-05-09 9:35,01-05-09 19:24,45.4166667,-75.7
12357,01-06-09 5:02,25695,1200,Diners,54706,Hyderabad,Andhra Pradesh,India,01-06-09 2:41,01-06-09 7:52,17.3833333,78.4666667
12358,01-06-09 7:45,25696,3600,Visa,54707,London,England,United Kingdom,01-06-09 7:00,01-06-09 9:17,51.52721,0.14559
12359,01-02-09 7:35,25697,1200,Diners,54708,Salt Lake City              ,UT,United States,12/30/08 5:44,01-06-09 10:52,40.76083,-111.89028
12360,01-06-09 12:56,25698,1200,Visa,54709,Manchester,England,United Kingdom,01-06-09 10:58,01-06-09 13:31,53.5,-2.2166667
12361,01-01-09 11:05,25699,1200,Diners,54710,Ballynora,Cork,Ireland,12-10-07 12:37,01-07-09 1:52,51.8630556,-8.58
12362,01-05-09 4:10,25700,1200,Mastercard,54711,Roodepoort,Gauteng,South Africa,01-05-09 2:33,01-07-09 5:13,-26.1666667,27.8666667
12363,01-06-09 7:18,25701,1200,Visa,54712,Chula Vista                 ,CA,United States,01-06-09 7:07,01-07-09 7:08,32.64,-117.08333
12364,01-02-09 1:11,25702,1200,Mastercard,54713,Kuopio,Ita-Suomen Laani,Finland,12/31/08 2:48,01-07-09 10:20,62.9,27.6833333
12365,01-01-09 2:24,25703,1200,Visa,54714,Sugar Land                  ,TX,United States,01-01-09 1:56,01-07-09 10:52,29.61944,-95.63472
12366,01-07-09 8:08,25704,1200,Diners,54715,New York                    ,NY,United States,01-07-09 7:39,01-07-09 12:38,40.71417,-74.00639
